***************************
 LISFLOOD-FP version 5.99.0
***************************

 This is a modified version 5.9 including Basic Model Interface (BMI) compatibility

***************************

 The model needs therefore be executed accordingly!

***************************

Loading parameters... 
Using acceleration formulation for floodplain flow
Using acceleration formulation for floodplain flow
Reading parameters done.


Start Date: 9/8/2026 
Start Time: 17:10:41 


Loading DEM:	mahanadi.asc
1312x973
BL corner	(440847.597798,2130377.223441)
NODATA_value	-9999.000000
Done.

Loading channel information:	mahanadi.river
1 Channel Segment
377 points in channel segment 0
Xsec  298	w=3645.790 n=0.035 z=45.323
Xsec  299	w=3650.660 n=0.035 z=44.198
Xsec  300	w=3655.530 n=0.035 z=43.363
Xsec  301	w=3660.380 n=0.035 z=42.161
Xsec  302	w=3665.220 n=0.035 z=40.470
Xsec  303	w=3670.060 n=0.035 z=39.527
Xsec  304	w=3674.880 n=0.035 z=38.530
Xsec  305	w=3679.700 n=0.035 z=38.020
Xsec  306	w=3684.500 n=0.035 z=37.281
Xsec  307	w=3689.300 n=0.035 z=36.469
Xsec  308	w=3694.080 n=0.035 z=35.883
Xsec  309	w=3698.860 n=0.035 z=35.200
Xsec  310	w=3703.630 n=0.035 z=34.463
Xsec  311	w=3708.390 n=0.035 z=33.788
Xsec  312	w=3713.140 n=0.035 z=32.810
Xsec  313	w=3717.880 n=0.035 z=32.090
Xsec  314	w=3722.610 n=0.035 z=31.277
Xsec  315	w=3727.330 n=0.035 z=30.528
Xsec  316	w=3732.050 n=0.035 z=29.736
Xsec  317	w=3736.750 n=0.035 z=29.270
Xsec  318	w=3741.450 n=0.035 z=28.652
Xsec  319	w=3746.140 n=0.035 z=28.210
Xsec  320	w=3750.810 n=0.035 z=27.687
Xsec  321	w=3755.480 n=0.035 z=27.174
Xsec  322	w=3760.140 n=0.035 z=27.008
Xsec  323	w=3764.800 n=0.035 z=26.633
Xsec  324	w=3769.440 n=0.035 z=25.933
Xsec  325	w=3774.070 n=0.035 z=25.369
Xsec  326	w=3778.700 n=0.035 z=24.953
Xsec  327	w=3783.320 n=0.035 z=24.423
Xsec  328	w=3787.930 n=0.035 z=23.830
Xsec  329	w=3792.530 n=0.035 z=22.980
Xsec  330	w=3797.120 n=0.035 z=22.556
Xsec  331	w=3801.710 n=0.035 z=22.251
Xsec  332	w=3806.280 n=0.035 z=21.965
Xsec  333	w=3810.850 n=0.035 z=21.417
Xsec  334	w=3815.410 n=0.035 z=20.884
Xsec  335	w=3819.960 n=0.035 z=20.348
Xsec  336	w=3824.510 n=0.035 z=19.695
Xsec  337	w=3829.040 n=0.035 z=19.024
Xsec  338	w=3833.570 n=0.035 z=18.295
Xsec  339	w=3838.090 n=0.035 z=17.643
Xsec  340	w=3842.600 n=0.035 z=16.987
Xsec  341	w=3847.100 n=0.035 z=16.143
Xsec  342	w=3851.600 n=0.035 z=15.401
Xsec  343	w=3856.090 n=0.035 z=14.857
Xsec  344	w=3860.570 n=0.035 z=14.058
Xsec  345	w=3865.040 n=0.035 z=13.321
Xsec  346	w=3869.500 n=0.035 z=12.352
Xsec  347	w=3873.960 n=0.035 z=11.508
Xsec  348	w=3878.410 n=0.035 z=10.875
Xsec  349	w=3882.850 n=0.035 z=10.185
Xsec  350	w=3887.280 n=0.035 z= 9.867
